student_id,midterm,final,attendance_or_hw
1001.0,5.87,9.0,6.21
1002.0,8.75,5.32,8.13
1003.0,7.66,4.8,8.16
1004.0,6.99,6.69,8.55
1005.0,4.78,9.42,8.9
1006.0,4.78,5.33,9.9
1007.0,4.29,7.7,8.07
1008.0,8.33,8.19,7.29
1009.0,7.01,5.31,9.18
1010.0,7.54,8.01,7.08
1011.0,4.1,6.02,7.76
1012.0,8.85,7.48,6.31
1013.0,8.16,7.48,6.1
1014.0,5.06,6.95,9.85
1015.0,4.91,4.5,9.34
1016.0,4.92,8.59,8.78
1017.0,5.52,5.76,7.64
1018.0,6.62,5.03,6.69
1019.0,6.16,4.22,6.63
1020.0,5.46,7.25,7.0
1021.0,7.06,7.73,8.2
1022.0,4.7,4.09,8.86
1023.0,5.46,6.82,8.64
1024.0,5.83,5.25,7.12
1025.0,6.28,7.55,9.82
1026.0,7.93,4.96,8.95
1027.0,5.0,7.8,8.22
1028.0,6.57,6.13,8.45
1029.0,6.96,9.15,7.68
1030.0,4.23,4.76,6.99
1031.0,7.04,5.88,7.42
1032.0,4.85,4.62,9.03
1033.0,4.33,9.09,6.06
1034.0,8.74,8.83,6.46
1035.0,8.83,5.42,6.18
1036.0,8.04,7.63,6.16
1037.0,5.52,8.49,9.42
1038.0,4.49,7.05,8.81
1039.0,7.42,6.91,7.9
1040.0,6.2,5.33,6.39
1041.0,4.61,4.51,7.97
1042.0,6.48,8.93,7.89
1043.0,4.17,8.95,6.69
1044.0,8.55,7.48,7.74
1045.0,5.29,5.86,7.59
1046.0,7.31,5.92,8.46
1047.0,5.56,7.99,8.54
1048.0,6.6,8.93,6.18
1049.0,6.73,8.88,7.5
1050.0,4.92,8.29,8.5
1051.0,8.85,7.53,8.01
1052.0,7.88,4.46,9.43
1053.0,8.7,4.89,8.63
1054.0,8.47,8.94,6.65
1055.0,6.99,7.34,6.28
1056.0,8.61,4.05,8.57
1057.0,4.44,4.56,6.11
1058.0,4.98,7.65,8.34
1059.0,4.23,4.03,9.76
1060.0,5.63,4.88,8.3
1061.0,5.94,7.02,7.55
1062.0,5.36,7.81,8.57
1063.0,8.14,7.59,7.83
1064.0,5.78,5.23,8.18
1065.0,5.4,7.92,9.77
1066.0,6.71,5.3,7.54
1067.0,4.7,5.79,9.84
1068.0,8.01,8.11,9.62
1069.0,4.37,7.57,6.78
1070.0,8.93,8.67,6.28
1071.0,7.86,7.62,6.4
1072.0,4.99,7.13,6.07
1073.0,4.03,4.52,6.38
1074.0,8.08,6.02,8.73
1075.0,7.53,5.46,6.28
1076.0,7.65,5.34,7.28
1077.0,7.86,9.35,9.38
1078.0,4.37,6.16,6.09
1079.0,5.79,8.91,9.26
1080.0,4.58,7.47,7.13
1081.0,8.32,8.37,6.47
1082.0,7.12,6.76,8.79
1083.0,5.65,7.17,8.52
1084.0,4.32,6.71,9.51
1085.0,5.55,5.07,8.94
1086.0,5.63,7.97,9.21
1087.0,7.65,5.54,7.13
1088.0,7.19,4.13,6.71
1089.0,8.44,7.55,9.0
1090.0,6.36,4.97,9.23
1091.0,4.6,9.17,9.96
1092.0,7.57,9.25,7.65
1093.0,7.8,9.03,7.49
1094.0,6.81,6.04,9.11
1095.0,7.85,4.09,7.36
1096.0,6.47,9.11,9.72
1097.0,6.61,6.36,9.43
1098.0,6.14,9.32,7.72
1099.0,4.13,9.3,9.0
1100.0,4.54,8.69,9.02
1101.0,4.16,5.62,6.41
1102.0,7.18,6.12,9.61
1103.0,5.57,8.68,8.02
1104.0,6.54,5.74,9.31
1105.0,8.54,4.93,7.28
1106.0,5.25,7.06,9.58
1107.0,6.05,9.15,7.56
1108.0,7.78,7.83,6.04
1109.0,5.14,7.14,9.62
1110.0,4.38,4.53,6.37
1111.0,5.45,7.38,7.28
1112.0,4.81,9.45,9.8
1113.0,8.65,4.77,9.8
1114.0,8.04,6.85,8.29
1115.0,7.17,8.83,8.53
1116.0,8.36,8.07,7.79
1117.0,8.02,7.83,7.17
1118.0,4.93,7.86,7.31
1119.0,8.46,5.98,8.69
1120.0,6.7,5.61,9.01
1121.0,8.04,8.45,9.17
1122.0,8.48,8.46,9.16
1123.0,5.59,8.77,6.36
1124.0,4.55,9.02,7.98
1125.0,5.14,6.81,6.23
1126.0,6.14,6.76,8.2
1127.0,8.09,8.39,7.77
1128.0,8.3,7.57,9.55
1129.0,4.03,7.86,7.4
1130.0,6.55,8.38,6.47
1131.0,6.09,8.9,6.57
1132.0,5.11,5.86,9.05
1133.0,4.6,6.07,8.47
1134.0,5.69,4.52,6.4
1135.0,8.71,7.18,6.34
1136.0,5.62,4.2,8.8
1137.0,6.59,6.56,6.29
1138.0,7.52,6.98,9.29
1139.0,5.82,5.58,8.82
1140.0,8.86,7.25,6.33
1141.0,8.81,4.17,6.34
1142.0,5.26,4.21,9.95
1143.0,6.49,8.52,7.5
1144.0,5.5,5.98,7.48
1145.0,5.42,4.7,9.25
1146.0,4.18,6.87,9.79
1147.0,7.05,8.23,9.94
1148.0,6.51,5.19,9.01
1149.0,4.26,7.43,7.51
1150.0,5.39,4.47,6.33
